TCode,Name_E,Name_G,BID
0010,Bheden(0010),Bheden(0010),176
0394,Turekela (0394),Turekela (0394),177
0009,Barapali(0009),Barapali(0009),178
0267,Purunakot,Purunakot,137
0008,Bijepur(0008),Bijepur(0008),179
0007,Sohela(0007),Sohela(0007),180
0206,Kishannagar P.S. ,Kishannagar P.S. ,122
0268,Bantala ,Bantala ,137
0005,Gaisilet(0005),Gaisilet(0005),181
0003,Padmapur(0003),Padmapur(0003),182
0265,Kiakata ,Kiakata ,140
0266,Thakurgarh ,Thakurgarh ,140
0290,Balipatna ,Balipatna ,4
0392,Patnagarh (0392),Patnagarh (0392),183
0002,Jharbandha(0002),Jharbandha(0002),185
0255,NALCO   ,NALCO   ,135
0340,BRAHMAPUR SADAR ,BRAHMAPUR SADAR ,260
0317,Puri (M) P.S.,Puri (M) P.S.,8
0313,Sadar ,Sadar ,9
0206,Kishannagar P.S. ,Kishannagar P.S. ,124
0015,Attabira(0015),Attabira(0015),186
0207,Jagatpur  ,Jagatpur  ,124
0393,Khaprakhol ,Khaprakhol ,163
0194,Banki  ,Banki  ,127
0207,Jagatpur  ,Jagatpur  ,133
0012,Bargarh Sadar,Bargarh Sadar,147
0389,Loisinga ,Loisinga ,165
0281,Bolagad (0281),Bolagad (0281),187
0391,Tushura ,Tushura ,165
0006,Melchhamunda,Melchhamunda,181
0201,Tangi ,Tangi ,133
0399,Sindhekela ,Sindhekela ,167
0259,Jarapada ,Jarapada ,146
0006,Melchhamunda,Melchhamunda,180
0006,Melchhamunda,Melchhamunda,182
0004,Burden,Burden,182
0260,Industrial  ,Industrial  ,146
0390,Balangir ,Balangir ,170
0396,Saintala ,Saintala ,171
0250,N.T.P.C.  ,N.T.P.C.  ,161
0248,Rengali Damsite ,Rengali Damsite ,161
0251,Samal Barrage ,Samal Barrage ,161
0399,Sindhekela ,Sindhekela ,171
0397,Kantabanji ,Kantabanji ,171
0262,Handapa ,Handapa ,144
0397,Kantabanji ,Kantabanji ,177
0143,Baleshwar Sadar P.S.(P) ,Baleshwar Sadar P.S.(P) ,81
0253,Colliery ,Colliery ,159
0136,Jaleswar P.S. (0136),Jaleswar P.S. (0136),188
0254,Bikrampur,Bikrampur,159
0136,Jaleswar P.S. (0136),Jaleswar P.S. (0136),189
0398,Bangomunda ,Bangomunda ,173
0282,Begunia (0282),Begunia (0282),60
0235,Kankadahad (0235),Kankadahad (0235),191
0245,Dhenkanal Sadar ,Dhenkanal Sadar ,157
0238,Nihalprasad ,Nihalprasad ,166
0239,Tumusingha ,Tumusingha ,160
0234,Kamakshyanagar ,Kamakshyanagar ,164
0234,Kamakshyanagar ,Kamakshyanagar ,169
0235,Kankadahad ,Kankadahad ,132
0233,Parajang ,Parajang ,132
0282,Begunia ,Begunia ,187
0448,Boriguma (0448),Boriguma (0448),190
0234,Kamakshyanagar ,Kamakshyanagar ,191
0233,Parajang ,Parajang ,191
0459,Boipariguda (0459),Boipariguda (0459),192
0144,Sahadevkhunta P.S.(New),Sahadevkhunta P.S.(New),51
0138,Kamarda P.S. (New),Kamarda P.S. (New),55
0147,Bampada P.S. ,Bampada P.S. ,61
0155,Baleshwar (M) P.S.,Baleshwar (M) P.S.,61
0149,Nilagiri P.S. ,Nilagiri P.S. ,56
0135,Raibania P.S. ,Raibania P.S. ,189
0142,Rupsa P.S. ,Rupsa P.S. ,53
0160,Bhadrak Rural P.S. ,Bhadrak Rural P.S. ,148
0411,Biswanathpur (0411),Biswanathpur (0411),249
0166,Bansada P.S. ,Bansada P.S. ,151
0313,Sadar (0313),Sadar (0313),193
0141,Basta P.S. ,Basta P.S. ,51
0164,Dhusuri P.S.,Dhusuri P.S.,155
0333,GANJAM (0333),GANJAM (0333),194
0064,Bisra P.S.(0064),Bisra P.S.(0064),209
0071,Kamarposh Balang P.S.(0071),Kamarposh Balang P.S.(0071),210
0076,Banei P.S.(0076),Banei P.S.(0076),211
0100,Anandapur P.S.(0100),Anandapur P.S.(0100),212
0084,Bamebari P.S. (New)(0084),Bamebari P.S. (New)(0084),213
0080,Barbil P.S.(0080),Barbil P.S.(0080),214
0087,Baria P.S.(0087),Baria P.S.(0087),214
0085,Champua P.S.(0085),Champua P.S.(0085),215
0099,Ghasipura P.S.(0099),Ghasipura P.S.(0099),216
0096,Ghatgaon P.S.(0096),Ghatgaon P.S.(0096),217
0097,Harichandanpur P.S.(0097),Harichandanpur P.S.(0097),218
0086,Jhumpura P.S.(P) (New)(0086),Jhumpura P.S.(P) (New)(0086),219
0083,Joda P.S.(0083),Joda P.S.(0083),220
0090,Kendujhar Sadar P.S.(0090),Kendujhar Sadar P.S.(0090),221
0102,Nandipada P.S.(0102),Nandipada P.S.(0102),222
0054,Sundargarh Town P.S.(0054),Sundargarh Town P.S.(0054),223
0023,Badmal P.S. (New)(0023),Badmal P.S. (New)(0023),224
0092,Nayakote P.S.(0092),Nayakote P.S.(0092),225
0089,Patana P.S.(0089),Patana P.S.(0089),226
0094,Telkoi P.S.(0094),Telkoi P.S.(0094),227
0093,Kanjipani P.S.,Kanjipani P.S.,225
0103,Sainkul P.S.,Sainkul P.S.,216
0095,Pandapara P.S.,Pandapara P.S.,217
0283,Khordha(0283),Khordha(0283),228
0095,Pandapara P.S.,Pandapara P.S.,218
0297,Jankia ,Jankia ,228
0098,Daitari P.S.,Daitari P.S.,218
0284,Khurda Sadar ,Khurda Sadar ,228
0101,Soso P.S.,Soso P.S.,222
0175,Nikirai ,Nikirai ,68
0080,Barbil P.S.,Barbil P.S.,220
0081,Bolani P.S.(New),Bolani P.S.(New),220
0179,Mahakalapada ,Mahakalapada ,66
0084,Bamebari P.S. (New),Bamebari P.S. (New),220
0082,Rugudi P.S.(New),Rugudi P.S.(New),220
0091,Kendujhar Town P.S.,Kendujhar Town P.S.,221
0088,Turumunga P.S.,Turumunga P.S.,226
0084,Bamebari P.S. (New),Bamebari P.S. (New),230
0086,Jhumpura P.S.(P) (New)(0086),Jhumpura P.S.(P) (New)(0086),230
0087,Baria P.S.,Baria P.S.,230
0055,Sundargarh  P.S.  (0055),Sundargarh  P.S.  (0055),231
0186,Jagatsinghapur P.S.(0186),Jagatsinghapur P.S.(0186),232
0441,Paparahandi (0441),Paparahandi (0441),338
0112,Badampahar P.S.(0112),Badampahar P.S.(0112),339
0477,M.V. 79 (0477),M.V. 79 (0477),25
0468,Malkangiri (0468),Malkangiri (0468),26
0147,Bampada P.S. ,Bampada P.S. ,51
0179,Mahakalapada (0179),Mahakalapada (0179),70
0145,Chandipur P.S. ,Chandipur P.S. ,51
0140,Singla P.S. ,Singla P.S. ,53
0142,Rupsa P.S. ,Rupsa P.S. ,51
0140,Singla P.S. ,Singla P.S. ,51
