SVID,Name_E,Name_G,TCode,DCode,VCode,MDDS_Code
10004776,Subhas Nagar,Subhas Nagar,0028,5,5236,45335
10004777,Maniram Road,Maniram Road,0028,5,5236,45335
10004778,Veerbhadra Road,Veerbhadra Road,0028,5,5236,45335
10004779,Ganga Aashram,Ganga Aashram,0028,5,5236,45335
10004780,Bharat Mandir,Bharat Mandir,0028,5,5236,45335
10004781,Chandreshwar Nagar,Chandreshwar Nagar,0028,5,5236,45335
10004782,Railway Road,Railway Road,0028,5,5236,45335
10004783,Nai Jatav Basti,Nai Jatav Basti,0028,5,5236,45335
10004784,Aadarsh Gram,Aadarsh Gram,0028,5,5236,45335
10004785,Maniram Road,Maniram Road,0028,5,5236,45335
10004786,Ganga Vihar,Ganga Vihar,0028,5,5236,45335
10004787,Tilak Road,Tilak Road,0028,5,5236,45335
10004788,Purani Chuggi,Purani Chuggi,0028,5,5236,45335
10004789,Bangali Basti,Bangali Basti,0028,5,5236,45335
10004790,SATYO,SATYO,0021,4,3839,44297
10004791,KADDHUKHAL,KADDHUKHAL,0021,4,3764,44225
10004792,Indra Colony (Ward 14),Indra Colony (Ward 14),0027,5,5110,45215
10004793,Chukhu Mohalla (Ward 13),Chukhu Mohalla (Ward 13),0027,5,5110,45215
10004794,Dobhalwala (Ward 6),Dobhalwala (Ward 6),0027,5,5110,45215
10004795,Malekh,Malekh,0033,6,8005,47542
10004796,Chaukhamb,Chaukhamb,0033,6,8005,47542
10004797,Chandpur,Chandpur,0033,6,8005,47542
10004798,Badkhet talla,Badkhet talla,0033,6,8005,47542
10004799,sundarkhal,hindi,0062,11,14424,54655
10004800,GUNILAKE,HINDI,0062,11,14437,54668
10004801,devnagar,hindi,0062,11,14420,54651
10004802,babiyad,hindi,0062,11,14435,54666
10004803,ladfoda talla,hinid,0062,11,14388,54620
10004804,dudli,hindi,0062,11,14420,54651
10004805,kafrauli,hindi,0062,11,14424,54655
10004806,amdo,hindi,0062,11,14388,54620
10004807,managher,hindi,0062,11,14388,54620
10004808,paniyali,hindi,0062,11,10004799,
10004809,dhanachuli,hindi,0062,11,14435,54666
10004810,SARNA,HINDI,0062,11,10004799,
10004811,KATHIYAPUL,HINDI,0066,11,15087,55398
10004812,MANKATHPUR,HINDI,0066,11,15099,55410
10004813,NARSINGHPUR,HINDI,0066,11,15087,55398
10004814,teda,HINDI,0066,11,300369,55443
10004815,AAMPOKHRA,HINDI,0066,11,15099,55410
10004816,himmatpur doriyal,hindi,0066,11,15086,55397
10004817,BHAWANIUR,HINDI,0066,11,300369,55443
10004818,Sawalde,hindi,0066,11,300369,55443
10004819,Badiyargaun,Badiyargaun,0033,6,8005,47542
10004820,PATRANI,hindi,0066,11,15087,55398
10004821,kaniya,hindi,0066,11,15099,55410
10004822,dhaila,hindi,0063,11,14708,54806
10004823,sunder khal,hindi,0066,11,15086,55397
