SVID,Name_E,Name_G,TCode,DCode,VCode,MDDS_Code
10000864,Autrauda,Autrauda,0238,55,73269,
10000865,Rautaienpur,Rautaienpur,0238,55,73269,
10000866,Ojhaganj,Ojhaganj,0238,55,72380,179312
10000867,Parivarpur,Parivarpur,0238,55,73269,
10000868,Banha manpur,Banha manpur,0238,55,73269,
10000869,KHULASHPUR,KHULASHPUR,0238,55,61670,0
10000870,Kotiya bharu,Kotiya bharu,0238,55,73269,
10000871,Kotiya bharu,Kotiya bharu,0238,55,73269,
10000872,Dayalapur belsad,Dayalapur belsad,0238,55,73352,180284
10000873,Bahrthapur,Bahrthapur,0238,55,73352,180284
10000874,Manjheriya,Manjheriya,0238,55,73352,180284
10000875,Dayalapur belsad,Dayalapur belsad,0238,55,73352,180284
10000876,Narottam kataiea,Narottam kataiea,0238,55,73352,180284
10000877,Dayalapur belsad,Dayalapur belsad,0238,55,73352,180284
10000878,Bahrthapur,Bahrthapur,0238,55,73352,180284
10000879,Manjheriya,Manjheriya,0238,55,73352,180284
10000880,Narottam kataiea,Narottam kataiea,0238,55,73352,180284
10000881,Karcholiya kalyanpur,Karcholiya kalyanpur,0238,55,73352,180284
10000882,Mahuari,Mahuari,0238,55,73352,180284
10000883,Ratshi,Ratshi,0238,55,73352,180284
10000884,Tilakpur loharauli,Tilakpur loharauli,0238,55,73337,180269
10000885,Saraiyaa mishara Bishonpura,Saraiyaa mishara Bishonpura,0238,55,73337,180269
10000886,Gangapur,Gangapur,0238,55,73337,180269
10000887,Ramdeiya bankata dubey,Ramdeiya bankata dubey,0238,55,73337,180269
10000888,Dudhaura,Dudhaura,0238,55,73337,180269
10000889,Pathkhauli sadsiya,Pathkhauli sadsiya,0238,55,73337,180269
10000890,Katri,Katri,0238,55,73337,180269
10000891,Dubauli dubey,Dubauli dubey,0238,55,73337,180269
10000892,Badhani,Badhani,0238,55,73341,180273
10000893,Pedar purwa,Pedar purwa,0238,55,73341,180273
10000894,Bashuapaar,Bashuapaar,0238,55,73341,180273
10000895,Battupur baghai,Battupur baghai,0238,55,73341,180273
10000896,Khaujiriya mishra thanwarpur,Khaujiriya mishra thanwarpur,0238,55,73341,180273
10000897,Jungle kathar,Jungle kathar,0238,55,73341,180273
10000898,Gopiyapaar maliya chua,Gopiyapaar maliya chua,0238,55,73341,180273
10000899,Gadha,Gadha,0238,55,73323,180255
10000900,Setha,Setha,0238,55,73323,180255
10000901,Setha,Setha,0238,55,73323,180255
10000902,Ranipur,Ranipur,0238,55,73323,180255
10000903,Pilkhav,Pilkhav,0238,55,73323,180255
10000904,Pilkhav,Pilkhav,0238,55,73323,180255
10000905,Mahuamishra,Mahuamishra,0238,55,73323,180255
10000906,Majha,Majha,0238,55,73323,180255
10000907,Sonarapur,Sonarapur,0238,55,73323,180255
10000908,Barahata meeta soti,Barahata meeta soti,0238,55,73372,180304
10000909,Pagar,Pagar,0238,55,73372,180304
10000910,Parashpura newada,Parashpura newada,0238,55,73372,180304
10000911,Kaudikol Khurd belwajor,Kaudikol Khurd belwajor,0238,55,73372,180304
10000912,Kaudikol bujurg Pikaura bari,Kaudikol bujurg Pikaura bari,0238,55,73372,180304
10000913,Lahilwara khiriyahwa,Lahilwara khiriyahwa,0238,55,73372,180304
10000914,Aithee Medhaua,Aithee Medhaua,0238,55,73372,180304
10000915,Aithee Medhaua,Aithee Medhaua,0238,55,73372,180304
10000916,Bhadna Basantpur,Bhadna Basantpur,0238,55,73372,180304
10000917,Bhadna Basantpur,Bhadna Basantpur,0238,55,73372,180304
10000918,Pokhara,Pokhara,0238,55,73394,180326
10000919,Fensha dudhi Kathwaliya,Fensha dudhi Kathwaliya,0238,55,73394,180326
10000920,Majhgawa kudhwa,Majhgawa kudhwa,0238,55,73394,180326
10000921,Khapdi raiyal,Khapdi raiyal,0238,55,73394,180326
10000922,Baishora kevtali,Baishora kevtali,0238,55,73394,180326
10000923,Sadwaliya dhekha sikta,Sadwaliya dhekha sikta,0238,55,73394,180326
10000924,Ramwapur kala bankta,Ramwapur kala bankta,0238,55,73394,180326
10000925,Mahuraiya bankatiya ramwapur khurd,Mahuraiya bankatiya ramwapur khurd,0238,55,73394,180326
10000926,Khadra,Khadra,0238,55,73425,180357
10000927,Naikapaar,Naikapaar,0238,55,73425,180357
10000928,Chandpur,Chandpur,0238,55,73425,180357
10000929,Narharpur bhatpurwa,Narharpur bhatpurwa,0238,55,73425,180357
10000930,Badosar kajiyapur,Badosar kajiyapur,0238,55,73425,180357
10000931,Khajuha gauwav dubauli,Khajuha gauwav dubauli,0238,55,73425,180357
10000932,Khamahira sahijanpur Dofda,Khamahira sahijanpur Dofda,0238,55,73425,180357
10000933,Narayanpur Bathha Gauhaniya,Narayanpur Bathha Gauhaniya,0238,55,73425,180357
10000934,Bishnoharpur,Bishnoharpur,0238,55,73323,180255
10000935,Garh -1,Garh -1,0317,76,0,
10000936,Garh-II,Garh-II,0317,76,0,
10000937,Lodhipur soman,Lodhipur soman,0317,76,0,
10000938,Anupur dhibai,Anupur dhibai,0317,76,0,
10000939,Dhana,Dhana,0317,76,0,
10000940,fattapur,fattapur,0317,76,0,
10000941,Sadallulapur,Sadallulapur,0317,76,0,
10000942,Jhadina,Jhadina,0317,76,0,
10000943,Haiderpur,Haiderpur,0317,76,0,
